site;year;count;count_rendements
19;2016;24343,0;0,052624751362103206
20;1980;;0,0
20;1981;;0,0
20;1982;;0,0
20;1983;;0,0
20;1984;;0,0
20;1985;;0,0
20;1986;;0,0
20;1987;;0,0
20;1988;;0,0
20;1989;;0,0
20;1990;;0,0
20;1991;;0,0
20;1992;;0,0
20;1993;;0,0
20;1994;;0,0
20;1995;;0,0
20;1996;;0,0
20;1997;;0,0
20;1998;;0,0
20;1999;;0,0
20;2000;;0,0
20;2001;;0,0
20;2002;;0,0
20;2003;;0,0
20;2004;;0,0
20;2005;;0,0
20;2006;;0,0
20;2007;;0,0
20;2008;14374,0;-0,40952224458776654
20;2009;11643,0;-0,18999582579657714
20;2010;11355,0;-0,0247358928111312
20;2011;11930,0;0,05063848524878911
20;2012;12649,0;0,06026823134953907
20;2013;11787,0;-0,06814767965847102
20;2014;12793,0;0,0853482650377535
20;2015;11643,0;-0,08989291018525758
20;2016;10924,0;-0,061753843511122564
10;1980;;0,0
10;1981;;0,0
10;1982;;0,0
10;1983;;0,0
10;1984;;0,0
10;1985;;0,0
10;1986;;0,0
10;1987;;0,0
10;1988;;0,0
10;1989;;0,0
10;1990;;0,0
10;1991;;0,0
10;1992;;0,0
10;1993;;0,0
10;1994;;0,0
10;1995;;0,0
10;1996;;0,0
10;1997;;0,0
10;1998;67106,0;5,142987916514097
10;1999;76501,0;0,14000238428754508
10;2000;75159,0;-0,017542254349616315
10;2001;81199,0;0,08036296384997144
10;2002;78515,0;-0,03305459426840229
10;2003;77172,0;-0,017105011781188284
10;2004;77172,0;0,0
10;2005;71133,0;-0,07825377079769869
10;2006;56369,0;-0,20755486201903472
10;2007;58383,0;0,035728858060281254
10;2008;66435,0;0,13791685935974507
10;2009;70462,0;0,060615639346729866
10;2010;62409,0;-0,11428855269506966
10;2011;67778,0;0,08602925860052246
10;2012;63080,0;-0,06931452683761696
10;2013;61067,0;-0,03191185795814844
10;2014;67778,0;0,10989568834231256
10;2015;64422,0;-0,04951459175543682
10;2016;;0,0
11;1980;37038,0;-0,42507218031107386
11;1981;42811,0;0,15586694745936613
11;1982;46178,0;0,07864801102520391
11;1983;40405,0;-0,12501624150028157
11;1984;39924,0;-0,011904467268902374
11;1985;35114,0;-0,1204789099288649
11;1986;45216,0;0,2876915190522298
11;1987;33671,0;-0,2553299716914367
11;1988;35114,0;0,04285587003653002
11;1989;40405,0;0,15068064020048988
11;1990;47621,0;0,17859175844573683
11;1991;43773,0;-0,08080468700783272
11;1992;51950,0;0,1868046512690471
11;1993;60127,0;0,15740134744947065
11;1994;54355,0;-0,09599680675902678
11;1995;41367,0;-0,23894765890902403
11;1996;46178,0;0,11630043271206514
11;1997;48102,0;0,04166486205552422
11;1998;38000,0;-0,21001205771069809
11;1999;56760,0;0,4936842105263157
11;2000;49545,0;-0,1271141649048626
11;2001;60127,0;0,21358361085881516
11;2002;56760,0;-0,055998137276098925
11;2003;52431,0;-0,07626849894291754
11;2004;54836,0;0,04586980984532052
11;2005;54836,0;0,0
11;2006;50026,0;-0,08771609891312282
11;2007;58684,0;0,17307000359812896
11;2008;59165,0;0,008196441960329981
11;2009;54836,0;-0,07316825826079609
11;2010;50026,0;-0,08771609891312282
11;2011;41849,0;-0,16345500339823293
11;2012;55317,0;0,3218236994910273
11;2013;38481,0;-0,3043548999403438
11;2014;52912,0;0,3750162417816585
11;2015;57722,0;0,09090565467190803
11;2016;60608,0;0,049998267558296616
12;1980;;0,0
12;1981;;0,0
12;1982;;0,0
12;1983;;0,0
12;1984;;0,0
12;1985;;0,0
12;1986;;0,0
12;1987;;0,0
12;1988;;0,0
12;1989;;0,0
12;1990;;0,0
12;1991;;0,0
12;1992;;0,0
12;1993;;0,0
12;1994;;0,0
12;1995;;0,0
12;1996;;0,0
12;1997;;0,0
12;1998;;0,0
12;1999;36359,0;-0,400095696937698
12;2000;38540,0;0,05998514810638356
12;2001;44357,0;0,15093409444732742
12;2002;41449,0;-0,06555898730752752
12;2003;43630,0;0,05261888103452428
12;2004;44357,0;0,01666284666513862
12;2005;42176,0;-0,04916924048064564
12;2006;45085,0;0,06897287556904397
12;2007;46903,0;0,04032383276034168
12;2008;49084,0;0,04650022386627728
12;2009;44721,0;-0,08888843615027298
12;2010;40722,0;-0,08942107734621318
12;2011;43630,0;0,07141103089239231
12;2012;47266,0;0,08333715333486125
12;2013;47630,0;0,007701095925189305
12;2014;46903,0;-0,015263489397438601
12;2015;46539,0;-0,007760697609961009
12;2016;46903,0;0,007821397107802053
13;1980;25083,0;-0,4652154446410678
13;1981;31435,0;0,2532392457042618
13;1982;30132,0;-0,04145061237474157
13;1983;27852,0;-0,07566706491437669
13;1984;29155,0;0,04678299583512846
13;1985;23291,0;-0,2011318813239582
13;1986;23128,0;-0,006998411403546401
13;1987;26712,0;0,15496368038740926
13;1988;26549,0;-0,00610212638514529
13;1989;33715,0;0,2699160043692794
13;1990;29643,0;-0,12077710218003856
13;1991;30783,0;0,03845764598724832
13;1992;41044,0;0,33333333333333326
13;1993;42022,0;0,02382808693109828
13;1994;52934,0;0,2596735043548617
13;1995;55540,0;0,049231117995995
13;1996;60264,0;0,08505581562837605
13;1997;64336,0;0,06756936147617143
13;1998;73782,0;0,1468229296194976
13;1999;73131,0;-0,008823290233390235
13;2000;74760,0;0,022275095376789622
13;2001;72316,0;-0,032691278758694486
13;2002;86975,0;0,2027075612589191
13;2003;96911,0;0,11423972405863747
13;2004;97399,0;0,0050355480801973496
13;2005;105706,0;0,08528834998305945
13;2006;103263,0;-0,023111270883393598
13;2007;107986,0;0,045737582677241706
13;2008;124599,0;0,15384401681699478
13;2009;134209,0;0,07712742477868995
13;2010;129323,0;-0,0364059042240088
13;2011;138281,0;0,06926842093053831
13;2012;147890,0;0,06948893918904253
13;2013;137629,0;-0,06938264926634663
13;2014;138118,0;0,003553030247985589
13;2015;153265,0;0,10966709625103177
13;2016;153754,0;0,0031905523113562317
