year,count,count_rendements
1999,1974.0,-0.945492199364904
2000,1599.0,-0.1899696048632219
2001,1776.0,0.11069418386491559
2002,1362.0,-0.23310810810810811
2003,2092.0,0.5359765051395007
2004,5290.0,1.5286806883365203
2005,2013.0,-0.6194706994328922
2006,8033.0,2.9905613512170888
2007,7875.0,-0.01966886592804684
2008,5073.0,-0.3558095238095238
2009,6415.0,0.26453774886654835
2010,3711.0,-0.4215120810600156
2011,6889.0,0.8563729452977633
2012,6928.0,0.005661199012919171
2013,5349.0,-0.2279157043879908
2014,4125.0,-0.2288278182837914
2015,2724.0,-0.3396363636363636
2016,4599.0,0.6883259911894273
